0:20:46,54.0,56,88,4.4,18,2.0,-2557.75,-0.25,-11082.6
0:20:51,53.5,56,88,4.4,18,2.5,-2546.0,0.25,-10977.9
0:20:56,53.5,56,88,4.4,18,2.5,-2534.0,0.25,-10925.1
0:21:1,53.75,56,88,4.4,18,2.25,-2521.75,-0.5,-10906.7
0:21:6,53.5,56,88,4.4,18,2.5,-2510.0,0.25,-10819.5
0:21:11,53.5,56,88,4.4,18,2.5,-2497.25,-0.25,-10772.4
0:21:16,53.25,56,88,4.4,18,2.75,-2484.5,0.5,-10680.8
0:21:22,52.75,56,88,4.4,18,3.25,-2467.75,0.375,-10565.35
0:21:27,53.25,56,88,4.4,18,2.75,-2454.5,0.25,-10553.3
0:21:32,53.25,56,88,4.4,18,2.75,-2441.25,0.5,-10490.5
0:21:37,53.5,56,88,4.4,18,2.5,-2428.25,-0.5,-10473.3
0:21:42,53.0,56,88,4.4,18,3.0,-2414.5,0.25,-10355.3
0:21:47,53.5,56,88,4.4,18,2.5,-2400.75,-0.5,-10352.3
0:21:52,53.25,56,88,4.4,18,2.75,-2386.5,-0.5,-10267.6
0:21:57,53.25,56,88,4.4,18,2.75,-2373.0,0.0,-10199.2
0:22:2,52.75,56,88,4.4,18,3.25,-2358.5,0.25,-10086.9
0:22:7,53.5,56,88,4.4,18,2.5,-2345.25,-0.25,-10103.6
0:22:12,53.25,56,88,4.4,18,2.75,-2329.5,-0.25,-10012.3
0:22:17,53.0,56,88,4.4,18,3.0,-2314.25,-0.25,-9923.201
0:22:22,53.5,56,88,4.4,18,2.5,-2300.25,-0.25,-9905.601
0:22:27,53.0,56,88,4.4,18,3.0,-2285.25,-0.25,-9795.6
0:22:32,53.0,56,88,4.4,18,3.0,-2270.5,0.0,-9726.2
0:22:37,52.5,56,88,4.4,18,3.5,-2254.75,0.25,-9608.4
0:22:42,53.0,56,88,4.4,18,3.0,-2238.0,-0.5,-9592.2
0:22:47,52.75,56,88,4.4,18,3.25,-2222.5,0.25,-9488.5
0:22:52,52.75,56,88,4.4,18,3.25,-2206.25,0.25,-9417.0
0:22:57,52.75,56,88,4.4,18,3.25,-2188.5,-0.25,-9347.9
0:23:2,52.75,56,88,4.4,18,3.25,-2172.75,0.25,-9269.601
0:23:7,52.5,56,88,4.4,18,3.5,-2156.75,0.0,-9181.701
0:23:12,52.75,56,88,4.4,18,3.25,-2139.75,0.0,-9128.901
0:23:17,52.25,56,88,4.4,18,3.75,-2121.75,0.25,-9001.201
0:23:22,52.5,56,88,4.4,18,3.5,-2105.0,0.25,-8949.5
0:23:27,52.75,56,88,4.4,18,3.25,-2087.0,-0.75,-8910.3
0:23:32,52.25,56,88,4.4,18,3.75,-2069.25,0.25,-8770.201
0:23:37,52.5,56,88,4.4,18,3.5,-2051.75,0.0,-8719.7
0:23:42,52.0,56,88,4.4,18,4.0,-2033.25,0.25,-8589.8
0:23:47,52.25,56,88,4.4,18,3.75,-2014.5,0.0,-8533.8
0:23:52,51.75,56,88,4.4,18,4.25,-1995.5,0.5,-8397.201
0:23:57,52.5,56,88,4.4,18,3.5,-1976.25,-0.5,-8396.5
0:24:2,52.25,56,88,4.4,18,3.75,-1957.25,-0.25,-8286.4
0:24:7,52.0,56,88,4.4,18,4.0,-1938.75,0.5,-8169.5
0:24:12,52.0,56,88,4.4,18,4.0,-1918.25,-0.25,-8092.799
0:24:17,52.25,56,88,4.4,18,3.75,-1899.0,0.25,-8021.101
0:24:22,52.0,56,88,4.4,18,4.0,-1878.25,-0.25,-7916.8
0:24:27,51.75,56,88,4.4,18,4.25,-1858.0,0.25,-7796.7
0:24:32,52.25,56,88,4.4,18,3.75,-1837.75,-0.5,-7765.1
0:24:37,51.75,56,88,4.4,18,4.25,-1817.25,-0.25,-7626.4
0:24:42,51.75,56,88,4.4,18,4.25,-1796.25,0.25,-7525.0
0:24:47,51.5,56,88,4.4,18,4.5,-1774.75,-0.5,-7421.9
0:24:52,52.0,56,88,4.4,18,4.0,-1754.25,-0.5,-7375.7
0:24:57,51.75,56,88,4.4,18,4.25,-1733.0,0.25,-7246.7
0:25:2,51.5,56,88,4.4,18,4.5,-1711.5,0.0,-7134.6
0:25:7,51.75,56,88,4.4,18,4.25,-1689.75,0.0,-7060.9
0:25:12,52.0,56,88,4.4,18,4.0,-1668.5,-1.0,-7007.401
0:25:17,51.75,56,88,4.4,18,4.25,-1646.0,-0.25,-6872.9
0:25:22,51.5,56,88,4.4,18,4.5,-1624.0,0.0,-6749.6
0:25:27,51.75,56,88,4.4,18,4.25,-1601.25,-0.25,-6676.0
0:25:32,51.25,56,88,4.4,18,4.75,-1579.0,0.5,-6520.6
0:25:37,51.75,56,88,4.4,18,4.25,-1557.25,-0.5,-6486.9
0:25:42,51.75,56,88,4.4,18,4.25,-1534.75,0.0,-6378.9
0:25:47,50.75,56,88,4.4,18,5.25,-1510.25,0.5,-6174.1
0:25:52,51.5,56,88,4.4,18,4.5,-1487.0,0.0,-6146.801
0:25:57,51.5,56,88,4.4,18,4.5,-1464.5,0.0,-6047.8
0:26:2,51.25,56,88,4.4,18,4.75,-1441.5,0.25,-5920.1
0:26:7,51.25,56,88,4.4,18,4.75,-1416.75,-0.5,-5824.7
0:26:12,51.25,56,88,4.4,18,4.75,-1393.5,0.25,-5708.9
0:26:17,51.25,56,88,4.4,18,4.75,-1369.5,-0.25,-5612.3
0:26:22,50.75,56,88,4.4,18,5.25,-1345.0,0.75,-5442.5
0:26:27,51.0,56,88,4.4,18,5.0,-1320.0,0.25,-5363.5
0:26:32,51.25,56,88,4.4,18,4.75,-1296.25,0.25,-5281.0
0:26:37,50.75,56,88,4.4,18,5.25,-1271.25,0.5,-5122.5
